text,category
The provisions of this agreement are severable; invalidity of any clause shall not impair the validity of remaining clauses.,Other
"The applicant must demonstrate a verified minimum net monthly salary of Rs. 1,00,000 to qualify for this credit facility.",Eligibility
Borrower Undertaking: Periodic automated credit score reviews will be conducted by the bank to assess ongoing risk and exposure health.,Credit Score
Clause 19: Differential interest rate of 12.00% shall be levied during the construction period until final disbursement.,Interest Rate
Borrower Undertaking: The borrower agrees to renew the insurance coverage annually and submit proof of premium payment to the Lender 15 days before expiry.,Insurance
Borrower Undertaking: A document retrieval and duplicate statement issuance fee of Rs. 500 plus taxes shall apply to each physical service request.,Hidden Charges
Borrower Undertaking: Individual borrowers servicing floating interest rate advances may make prepayments without any prepayment penalty or lock-in fee.,Prepayment
Section 18.1: The Borrower's credit score must be at least 780 as reported by CIBIL or Experian at the time of formal underwriting.,Credit Score
"Section 34.1: A non-refundable administrative processing fee of 2.0% of the sanctioned loan amount, subject to a minimum of Rs. 7,500, is payable.",Processing Fee
"Section 42.7: An inspection and collateral re-valuation fee of Rs. 1,500 will be charged to the loan account every 3 years.",Hidden Charges
Borrower Undertaking: The Borrower may request an adjustment of the remaining 12 months tenure subject to Bank loan servicing policies.,Loan Tenure
"Mandatory Condition: The processing fee of Rs. 2,999 covers comprehensive documentation verification, credit appraisal, and legal title scrutiny.",Processing Fee
Important Stipulation: The Borrower may claim tax deductions on principal repayments under Section 80C and interest payments under Section 24(b) of the IT Act.,Tax
"Special Covenant: Upon full foreclosure, the lender shall release original title deeds within 30 working days from settlement of all dues.",Foreclosure
"Terms and Conditions: A mandatory group loan protection insurance premium of INR 24,500 shall be debited and added to the principal balance.",Insurance
Important Stipulation: A foreclosure charge of 2.0% shall be levied on the outstanding principal balance if the loan is closed prematurely.,Foreclosure
Clause 17: Individual borrowers servicing floating interest rate advances may make prepayments without any prepayment penalty or lock-in fee.,Prepayment
Clause 30: Breach of any financial covenant or negative pledge shall attract a liquidated damages penalty of 24.0% per annum.,Penalty
Borrower Undertaking: The loan shall be repaid over an amortization schedule spanning 20 years across 240 monthly installments.,Loan Tenure
General Obligation: A penal interest rate of 36.0% per annum shall be charged on all overdue EMI payments for the exact period of delay.,Late Fee
Special Covenant: The Borrower agrees to pay interest on the loan facility at a floating rate of 16.50% per annum linked to the Bank's 1-year MCLR.,Interest Rate
Terms and Conditions: A ECS mandate bounce charge of INR 500 shall be automatically levied upon each debit rejection by the clearing house.,Penalty
General Obligation: The Borrower shall execute an irrevocable power of attorney in favor of the Bank authorizing enforcement upon default.,Documentation
Borrower Undertaking: The Borrower may claim tax deductions on principal repayments under Section 80C and interest payments under Section 24(b) of the IT Act.,Tax
The Lender will issue an annual provisional and final interest certificate for the purpose of claiming income tax exemptions.,Tax
Section 6.9: Any default exceeding 30 days delinquency will be reported to credit bureaus and may severely impair the borrower's credit rating.,Credit Score
Borrower Undertaking: The Lender reserves the sole right to revise the interest rate spread by up to 1.75% in the event of any credit rating downgrade.,Interest Rate
Clause 5: No waiver by the Bank of any default by the Borrower shall operate as a waiver of any subsequent breach or default.,Other
Mandatory Condition: The Borrower must provide a minimum 15 days written notice requesting full loan foreclosure and payoff quotation calculation.,Foreclosure
Borrower Undertaking: The Borrower may claim tax deductions on principal repayments under Section 80C and interest payments under Section 24(b) of the IT Act.,Tax
"Any representation or warranty proving to be false or misleading will incur an immediate breach penalty of Rs. 25,000.",Penalty
The Borrower may request an adjustment of the remaining 36 months tenure subject to Bank loan servicing policies.,Loan Tenure
"Special Covenant: Each monthly EMI of Rs. 16,800 shall be deducted automatically via electronic standing instruction from the designated bank account.",EMI
The borrower shall execute demand promissory notes and a deed of hypothecation in respect of all financed movable assets.,Documentation
"Important Stipulation: This loan agreement shall be governed by, and construed in all respects in accordance with, the laws of the Republic of India.",Other
"General Obligation: Loan eligibility is determined on the basis of verified cash flows, repayment capacity, and existing debt commitments.",Eligibility
"Special Covenant: Monthly EMI payments of INR 8,250 must be serviced through an active National Automated Clearing House (NACH) mandate.",EMI
Overdue monthly balances shall attract late payment charges at the rate of 24.0% per month until the default is fully cured.,Late Fee
"Important Stipulation: Loan eligibility is determined on the basis of verified cash flows, repayment capacity, and existing debt commitments.",Eligibility
Section 7.1: No waiver by the Bank of any default by the Borrower shall operate as a waiver of any subsequent breach or default.,Other
"Borrower Undertaking: A late fee of Rs. 1,000 will be debited to the borrower's loan account for every week the EMI payment remains overdue.",Late Fee
"Borrower Undertaking: Upon full foreclosure, the lender shall release original title deeds within 30 working days from settlement of all dues.",Foreclosure
"Terms and Conditions: The processing fee of Rs. 10,000 covers comprehensive documentation verification, credit appraisal, and legal title scrutiny.",Processing Fee
"Borrower Undertaking: Any enhancement in statutory stamp duty, GST, or government levies shall be borne entirely by the borrower without exception.",Tax
"Mandatory Condition: The processing fee of Rs. 1,500 covers comprehensive documentation verification, credit appraisal, and legal title scrutiny.",Processing Fee
"Section 2.6: The Borrower shall remit a monthly installment of Rs. 68,200 covering principal repayment and accrued monthly interest.",EMI
"Borrower Undertaking: This loan agreement shall be governed by, and construed in all respects in accordance with, the laws of the Republic of India.",Other
Special Covenant: A document retrieval and duplicate statement issuance fee of Rs. 750 plus taxes shall apply to each physical service request.,Hidden Charges
Section 9.8: No waiver by the Bank of any default by the Borrower shall operate as a waiver of any subsequent breach or default.,Other
General Obligation: A physical ECS/NACH mandate registration swap fee of Rs. 150 shall be charged for changing the repayment bank account.,Hidden Charges
Section 17.9: A late fee of Rs. 500 will be debited to the borrower's loan account for every week the EMI payment remains overdue.,Late Fee
Terms and Conditions: Differential interest rate of 9.50% shall be levied during the construction period until final disbursement.,Interest Rate
Clause 11: Delayed payment of interest or principal beyond 3 days grace period will incur an overdue penal charge of 2.0% compounded monthly.,Late Fee
Important Stipulation: The Borrower shall obtain and maintain a comprehensive credit life and disability insurance policy covering 100% of the loan value.,Insurance
"Section 22.2: Failure to maintain sufficient funds for the monthly installment of INR 22,500 will trigger immediate electronic presentation dishonor.",EMI
"Mandatory Condition: Upon receipt of part-prepayment, the lender will recalculate the amortization schedule and provide a revised repayment table.",Prepayment
"A statement of account fee of Rs. 3,500 and interest certificate generation fee of Rs. 300 shall be levied.",Hidden Charges
"Terms and Conditions: The Borrower shall pay an upfront loan processing charge of INR 2,999 plus applicable Goods and Services Tax (GST).",Processing Fee
Mandatory Condition: An origination fee of 1.5% of the total credit limit shall be charged upon issuance of the formal loan sanction letter.,Processing Fee
"Mandatory Condition: In the event of permanent disability or death of the borrower, insurance proceeds shall be applied directly to liquidate outstanding debt.",Insurance
"Clause 25: Upon receipt of part-prepayment, the lender will recalculate the amortization schedule and provide a revised repayment table.",Prepayment
Borrower Undertaking: The effective annual percentage rate (APR) is calculated as 18.00% inclusive of all underlying margin spreads and capital charges.,Interest Rate
Mandatory Condition: Any dispute arising out of or in connection with this agreement shall be resolved through binding arbitration in Mumbai.,Other
"Terms and Conditions: In the event of partial prepayment, the borrower may choose to reduce the monthly EMI from Rs. 4,500 or reduce the tenure.",EMI
Clause 24: The Lender will issue an annual provisional and final interest certificate for the purpose of claiming income tax exemptions.,Tax
The Borrower shall execute an irrevocable power of attorney in favor of the Bank authorizing enforcement upon default.,Documentation
Foreclosure of fixed-rate loans within the initial 12 months shall incur an exit penalty of 4.0% plus applicable statutory taxes.,Foreclosure
General Obligation: The Borrower shall obtain and maintain a comprehensive credit life and disability insurance policy covering 100% of the loan value.,Insurance
"Section 12.4: The Borrower shall pay an upfront loan processing charge of INR 10,000 plus applicable Goods and Services Tax (GST).",Processing Fee
"Terms and Conditions: Any enhancement in statutory stamp duty, GST, or government levies shall be borne entirely by the borrower without exception.",Tax
"General Obligation: Legal verification fee of INR 2,500 and technical valuation fees of INR 2,500 shall be recovered separately.",Hidden Charges
Borrower Undertaking: The Borrower may request an adjustment of the remaining 12 months tenure subject to Bank loan servicing policies.,Loan Tenure
Borrower Undertaking: Partial prepayment is permitted up to 20% of the outstanding balance once in a financial year without any prepayment penalty.,Prepayment
The maturity date of the loan facility shall fall exactly 2 years following the initial drawdown timestamp.,Loan Tenure
Important Stipulation: Self-employed applicants must show audited financial accounts reflecting net profits for at least 2 consecutive assessment years.,Eligibility
"Borrower Undertaking: This loan agreement shall be governed by, and construed in all respects in accordance with, the laws of the Republic of India.",Other
Special Covenant: The borrower must be an Indian citizen aged between 21 and 60 years at the time of loan maturity to satisfy eligibility criteria.,Eligibility
Terms and Conditions: The provisions of this agreement are severable; invalidity of any clause shall not impair the validity of remaining clauses.,Other
"The borrower shall indemnify the Bank for all recovery agency costs, legal counsel fees, and litigation expenses incurred.",Penalty
General Obligation: The total tenure of the loan facility is sanctioned for a period of 120 months (10 years) from the disbursement date.,Loan Tenure
Section 14.7: The courts having jurisdiction over the branch where the loan was sanctioned shall have exclusive legal jurisdiction.,Other
Important Stipulation: The loan sanction is contingent upon securing adequate loan shield insurance covering the entire tenure of the credit facility.,Insurance
Important Stipulation: A penal interest rate of 28.0% per annum shall be charged on all overdue EMI payments for the exact period of delay.,Late Fee
Mandatory Condition: The provisions of this agreement are severable; invalidity of any clause shall not impair the validity of remaining clauses.,Other
Borrower Undertaking: Persistent payment delay exceeding 30 calendar days shall attract default penal interest of 24.0% above regular interest rates.,Late Fee
Section 33.5: Failure to renew mandatory collateral insurance shall entitle the Bank to purchase insurance on the borrower's behalf and debit the costs.,Insurance
"Clause 22: Failure to maintain sufficient funds for the monthly installment of INR 68,200 will trigger immediate electronic presentation dishonor.",EMI
Mandatory Condition: The effective annual percentage rate (APR) is calculated as 9.50% inclusive of all underlying margin spreads and capital charges.,Interest Rate
"Special Covenant: A minimum threshold of INR 10,000 is required for making any advance prepayment against outstanding principal.",Prepayment
"Section 20.1: Upon receipt of part-prepayment, the lender will recalculate the amortization schedule and provide a revised repayment table.",Prepayment
Terms and Conditions: The effective annual percentage rate (APR) is calculated as 10.75% inclusive of all underlying margin spreads and capital charges.,Interest Rate
The Borrower's credit score must be at least 700 as reported by CIBIL or Experian at the time of formal underwriting.,Credit Score
Special Covenant: Failure to renew mandatory collateral insurance shall entitle the Bank to purchase insurance on the borrower's behalf and debit the costs.,Insurance
"Borrower Undertaking: The Bank levies a sanction processing fee of 2.5% on the gross loan value, payable prior to loan agreement signing.",Processing Fee
Mandatory Condition: Tax deducted at source (TDS) if applicable must be deposited by the borrower and statutory TDS certificates submitted to the Lender.,Tax
Borrower Undertaking: The borrower must be an Indian citizen aged between 21 and 60 years at the time of loan maturity to satisfy eligibility criteria.,Eligibility
"Special Covenant: Loan eligibility is determined on the basis of verified cash flows, repayment capacity, and existing debt commitments.",Eligibility
Clause 38: The borrower must be an Indian citizen aged between 21 and 60 years at the time of loan maturity to satisfy eligibility criteria.,Eligibility
"Important Stipulation: Failure to maintain sufficient funds for the monthly installment of INR 55,000 will trigger immediate electronic presentation dishonor.",EMI
Special Covenant: The Borrower may claim tax deductions on principal repayments under Section 80C and interest payments under Section 24(b) of the IT Act.,Tax
Borrower Undertaking: A loan account reactivation fee of Rs. 750 will be applied if the loan account falls into inoperative dormant status.,Hidden Charges
General Obligation: Overdue monthly balances shall attract late payment charges at the rate of 36.0% per month until the default is fully cured.,Late Fee
"Clause 33: A late collection fee of INR 1,200 shall apply per overdue installment in addition to penal interest at 2.0% p.a.",Late Fee
"General Obligation: Any representation or warranty proving to be false or misleading will incur an immediate breach penalty of Rs. 10,000.",Penalty
Important Stipulation: Applicants must possess a minimum of 2 years continuous employment in the current organization or sector to qualify.,Eligibility
"Clause 34: The Borrower shall submit certified copies of PAN Card, Aadhaar Card, utility bills, and 6 months bank account statements.",Documentation
Section 34.8: A certified salary slip stamped by the employer along with Form 16 must be provided prior to final disbursement release.,Documentation
Terms and Conditions: The borrower explicitly authorizes the lender to obtain comprehensive credit bureau reports throughout the currency of the loan.,Credit Score
Clause 15: Applicants must possess a minimum of 2 years continuous employment in the current organization or sector to qualify.,Eligibility
"General Obligation: The borrower shall indemnify the Bank for all recovery agency costs, legal counsel fees, and litigation expenses incurred.",Penalty
"Borrower Undertaking: The Borrower shall remit a monthly installment of Rs. 22,500 covering principal repayment and accrued monthly interest.",EMI
General Obligation: Persistent payment delay exceeding 30 calendar days shall attract default penal interest of 2.0% above regular interest rates.,Late Fee
"Mandatory Condition: Repayment shall be made by way of Equated Monthly Installments of INR 12,400 commencing from the month immediately following disbursement.",EMI
"Clause 28: In case of unauthorized utilization of loan proceeds for speculative purposes, the Bank may impose a punitive penalty of 24.0%.",Penalty
"Important Stipulation: Loan eligibility is determined on the basis of verified cash flows, repayment capacity, and existing debt commitments.",Eligibility
Borrower Undertaking: The provisions of this agreement are severable; invalidity of any clause shall not impair the validity of remaining clauses.,Other
The Borrower may claim tax deductions on principal repayments under Section 80C and interest payments under Section 24(b) of the IT Act.,Tax
"Special Covenant: The Borrower shall pay an upfront loan processing charge of INR 4,500 plus applicable Goods and Services Tax (GST).",Processing Fee
The Lender will issue an annual provisional and final interest certificate for the purpose of claiming income tax exemptions.,Tax
The Borrower must provide a minimum 15 days written notice requesting full loan foreclosure and payoff quotation calculation.,Foreclosure
Important Stipulation: The provisions of this agreement are severable; invalidity of any clause shall not impair the validity of remaining clauses.,Other
"Special Covenant: Any representation or warranty proving to be false or misleading will incur an immediate breach penalty of Rs. 25,000.",Penalty
Important Stipulation: A penal interest rate of 24.0% per annum shall be charged on all overdue EMI payments for the exact period of delay.,Late Fee
Borrower Undertaking: Interest charges will accrue from the exact date of loan disbursement at the rate of 10.75% per annum.,Interest Rate
"Terms and Conditions: Prepayment shall only be accepted in multiples of Rs. 25,000 and will be adjusted first towards overdue charges and then principal.",Prepayment
Terms and Conditions: A ECS mandate bounce charge of INR 750 shall be automatically levied upon each debit rejection by the clearing house.,Penalty
Terms and Conditions: A certified salary slip stamped by the employer along with Form 16 must be provided prior to final disbursement release.,Documentation
"Section 27.3: The rate of interest chargeable shall be 18.00% p.a., subject to revision following Reserve Bank of India policy revisions.",Interest Rate
Section 19.1: The borrower agrees to renew the insurance coverage annually and submit proof of premium payment to the Lender 15 days before expiry.,Insurance
Section 21.6: A pre-closure penalty of 3.0% will be debited to the settlement statement if closed using third-party balance transfer funds.,Foreclosure
The Borrower may claim tax deductions on principal repayments under Section 80C and interest payments under Section 24(b) of the IT Act.,Tax
Section 1.6: A reduction in the borrower's credit score below 650 grants the Lender the right to demand additional collateral security.,Credit Score
General Obligation: An origination fee of 1.0% of the total credit limit shall be charged upon issuance of the formal loan sanction letter.,Processing Fee
"Mandatory Condition: The calculated EMI for this personal credit facility is fixed at Rs. 55,000 payable on the 10th of every repayment cycle.",EMI
Borrower Undertaking: Persistent payment delay exceeding 30 calendar days shall attract default penal interest of 36.0% above regular interest rates.,Late Fee
"The rate of interest chargeable shall be 11.50% p.a., subject to revision following Reserve Bank of India policy revisions.",Interest Rate
"Borrower Undertaking: The Lender shall report payment performance, defaults, and overdue status to all statutory Credit Information Companies monthly.",Credit Score
Special Covenant: Any default exceeding 30 days delinquency will be reported to credit bureaus and may severely impair the borrower's credit rating.,Credit Score
Clause 21: A certified salary slip stamped by the employer along with Form 16 must be provided prior to final disbursement release.,Documentation
Clause 6: Tax deducted at source (TDS) if applicable must be deposited by the borrower and statutory TDS certificates submitted to the Lender.,Tax
Clause 5: An origination fee of 2.5% of the total credit limit shall be charged upon issuance of the formal loan sanction letter.,Processing Fee
Section 15.3: Individual borrowers servicing floating interest rate advances may make prepayments without any prepayment penalty or lock-in fee.,Prepayment
"Important Stipulation: Property mortgaged under this loan facility must be insured against fire, earthquake, and natural calamities with the Bank as sole loss payee.",Insurance
Special Covenant: The loan sanction is contingent upon securing adequate loan shield insurance covering the entire tenure of the credit facility.,Insurance
"Special Covenant: Failure to submit annual income tax returns or financial statements within 90 days will result in a non-compliance penalty of Rs. 10,000.",Penalty
Important Stipulation: The Borrower's credit score must be at least 700 as reported by CIBIL or Experian at the time of formal underwriting.,Credit Score
General Obligation: Individual borrowers servicing floating interest rate advances may make prepayments without any prepayment penalty or lock-in fee.,Prepayment
Special Covenant: The Lender will issue an annual provisional and final interest certificate for the purpose of claiming income tax exemptions.,Tax
Borrower Undertaking: Breach of any financial covenant or negative pledge shall attract a liquidated damages penalty of 30.0% per annum.,Penalty
A dishonor penalty of Rs. 450 shall be charged for every cheque or NACH debit returned unpaid due to insufficient funds.,Penalty
Important Stipulation: A late fee of Rs. 350 will be debited to the borrower's loan account for every week the EMI payment remains overdue.,Late Fee
"Section 27.6: Pre-EMI interest shall be paid every month until the regular equated monthly installment of Rs. 35,000 commences.",EMI
The Borrower shall execute an irrevocable power of attorney in favor of the Bank authorizing enforcement upon default.,Documentation
Delayed payment of interest or principal beyond 3 days grace period will incur an overdue penal charge of 3.0% compounded monthly.,Late Fee
Terms and Conditions: A certified salary slip stamped by the employer along with Form 16 must be provided prior to final disbursement release.,Documentation
"Mandatory Condition: A one-time file handling and login processing charge of Rs. 1,500 must be paid along with the application form submission.",Processing Fee
"The agreed repayment period is 48 calendar months, concluding on the formal maturity date.",Loan Tenure
Special Covenant: A reduction in the borrower's credit score below 780 grants the Lender the right to demand additional collateral security.,Credit Score
Borrower Undertaking: Any partial prepayment made within the lock-in period of 18 months shall attract a prepayment fee of 1.5%.,Prepayment
Section 18.5: The Borrower shall pay simple interest at 9.10% during the initial moratorium period prior to principal amortization.,Interest Rate
General Obligation: A ECS mandate bounce charge of INR 450 shall be automatically levied upon each debit rejection by the clearing house.,Penalty
Section 43.9: The loan agreement must be stamped with appropriate ad-valorem stamp duty as prescribed by the respective State Stamp Act.,Documentation
"Mandatory Condition: Monthly EMI payments of INR 16,800 must be serviced through an active National Automated Clearing House (NACH) mandate.",EMI
"The Bank levies a sanction processing fee of 0.5% on the gross loan value, payable prior to loan agreement signing.",Processing Fee
"Important Stipulation: The borrower shall indemnify the Bank for all recovery agency costs, legal counsel fees, and litigation expenses incurred.",Penalty
The Borrower shall pay simple interest at 18.00% during the initial moratorium period prior to principal amortization.,Interest Rate
Terms and Conditions: Tax deducted at source (TDS) if applicable must be deposited by the borrower and statutory TDS certificates submitted to the Lender.,Tax
"Borrower Undertaking: Upon full foreclosure, the lender shall release original title deeds within 30 working days from settlement of all dues.",Foreclosure
Clause 13: Applicants must possess a minimum of 2 years continuous employment in the current organization or sector to qualify.,Eligibility
"Mandatory Condition: Loan eligibility is determined on the basis of verified cash flows, repayment capacity, and existing debt commitments.",Eligibility
Terms and Conditions: An origination fee of 2.0% of the total credit limit shall be charged upon issuance of the formal loan sanction letter.,Processing Fee
Section 1.9: Interest charges will accrue from the exact date of loan disbursement at the rate of 8.75% per annum.,Interest Rate
"Terms and Conditions: A minimum threshold of INR 50,000 is required for making any advance prepayment against outstanding principal.",Prepayment
General Obligation: The maturity date of the loan facility shall fall exactly 30 years following the initial drawdown timestamp.,Loan Tenure
The current applicable rate of interest is 15.00% p.a. comprising the benchmark repo rate of 6.00% plus a credit spread of 3.10%.,Interest Rate
"In case of default in payment of any monthly installment on the due date, a late payment fee of Rs. 350 plus 18.0% p.a. will be levied.",Late Fee
Important Stipulation: A fixed annual interest rate of 9.10% shall be applicable for the entire tenure of the loan facility without any reset.,Interest Rate
General Obligation: A statement of account fee of Rs. 750 and interest certificate generation fee of Rs. 450 shall be levied.,Hidden Charges
"Terms and Conditions: Failure to submit annual income tax returns or financial statements within 90 days will result in a non-compliance penalty of Rs. 25,000.",Penalty
"Borrower Undertaking: The applicant must demonstrate a verified minimum net monthly salary of Rs. 75,000 to qualify for this credit facility.",Eligibility
Terms and Conditions: A pre-closure penalty of 5.0% will be debited to the settlement statement if closed using third-party balance transfer funds.,Foreclosure
"Important Stipulation: In the event of permanent disability or death of the borrower, insurance proceeds shall be applied directly to liquidate outstanding debt.",Insurance
Section 18.6: Applicants must possess a minimum of 2 years continuous employment in the current organization or sector to qualify.,Eligibility
"Terms and Conditions: In the event of partial prepayment, the borrower may choose to reduce the monthly EMI from Rs. 8,250 or reduce the tenure.",EMI
Important Stipulation: Breach of any financial covenant or negative pledge shall attract a liquidated damages penalty of 2.0% per annum.,Penalty
Section 1.5: Applicants must possess a minimum of 2 years continuous employment in the current organization or sector to qualify.,Eligibility
"Terms and Conditions: A statement of account fee of Rs. 1,500 and interest certificate generation fee of Rs. 150 shall be levied.",Hidden Charges
Section 23.9: A certified salary slip stamped by the employer along with Form 16 must be provided prior to final disbursement release.,Documentation
Important Stipulation: A dishonor penalty of Rs. 750 shall be charged for every cheque or NACH debit returned unpaid due to insufficient funds.,Penalty
Clause 34: A certified salary slip stamped by the employer along with Form 16 must be provided prior to final disbursement release.,Documentation
"Clause 15: A minimum threshold of INR 10,000 is required for making any advance prepayment against outstanding principal.",Prepayment
Borrower Undertaking: Self-employed applicants must show audited financial accounts reflecting net profits for at least 4 consecutive assessment years.,Eligibility
"Borrower Undertaking: A minimum threshold of INR 25,000 is required for making any advance prepayment against outstanding principal.",Prepayment
Special Covenant: Delayed payment of interest or principal beyond 3 days grace period will incur an overdue penal charge of 3.0% compounded monthly.,Late Fee
Clause 27: No waiver by the Bank of any default by the Borrower shall operate as a waiver of any subsequent breach or default.,Other
"Section 29.4: This loan agreement shall be governed by, and construed in all respects in accordance with, the laws of the Republic of India.",Other
"Section 12.3: The Borrower shall submit certified copies of PAN Card, Aadhaar Card, utility bills, and 6 months bank account statements.",Documentation
Borrower Undertaking: No foreclosure charges shall be applicable on floating-rate individual term loans as per Reserve Bank of India consumer guidelines.,Foreclosure
"Special Covenant: A one-time file handling and login processing charge of Rs. 1,500 must be paid along with the application form submission.",Processing Fee
"Failure to maintain sufficient funds for the monthly installment of INR 28,450 will trigger immediate electronic presentation dishonor.",EMI
Clause 19: The Borrower must provide a minimum 15 days written notice requesting full loan foreclosure and payoff quotation calculation.,Foreclosure
"Borrower Undertaking: Property mortgaged under this loan facility must be insured against fire, earthquake, and natural calamities with the Bank as sole loss payee.",Insurance
Mandatory Condition: A pre-closure penalty of 5.0% will be debited to the settlement statement if closed using third-party balance transfer funds.,Foreclosure
Terms and Conditions: The Borrower may claim tax deductions on principal repayments under Section 80C and interest payments under Section 24(b) of the IT Act.,Tax
"The processing fee of Rs. 2,999 covers comprehensive documentation verification, credit appraisal, and legal title scrutiny.",Processing Fee
Clause 28: The loan sanction is contingent upon securing adequate loan shield insurance covering the entire tenure of the credit facility.,Insurance
Section 22.4: The Borrower shall execute an irrevocable power of attorney in favor of the Bank authorizing enforcement upon default.,Documentation
"Borrower Undertaking: A non-refundable administrative processing fee of 0.5% of the sanctioned loan amount, subject to a minimum of Rs. 5,000, is payable.",Processing Fee
Important Stipulation: The borrower must be an Indian citizen aged between 21 and 60 years at the time of loan maturity to satisfy eligibility criteria.,Eligibility
"Special Covenant: In case of default in payment of any monthly installment on the due date, a late payment fee of Rs. 350 plus 28.0% p.a. will be levied.",Late Fee
"Special Covenant: The agreed repayment period is 120 calendar months, concluding on the formal maturity date.",Loan Tenure
"Terms and Conditions: A non-refundable administrative processing fee of 1.5% of the sanctioned loan amount, subject to a minimum of Rs. 7,500, is payable.",Processing Fee
Clause 8: Original registered title deeds of the mortgaged property must be deposited with the Bank to create an equitable mortgage.,Documentation
Mandatory Condition: Self-employed applicants must show audited financial accounts reflecting net profits for at least 4 consecutive assessment years.,Eligibility
A loan evaluation and administrative processing fee amounting to 0.5% will be deducted directly from the initial disbursement.,Processing Fee
"Legal verification fee of INR 3,500 and technical valuation fees of INR 3,500 shall be recovered separately.",Hidden Charges
Section 35.2: The borrower must be an Indian citizen aged between 21 and 60 years at the time of loan maturity to satisfy eligibility criteria.,Eligibility
Terms and Conditions: The duration of this credit facility is strictly restricted to 3 years from the execution date of this loan deed.,Loan Tenure
Terms and Conditions: A certified salary slip stamped by the employer along with Form 16 must be provided prior to final disbursement release.,Documentation
Important Stipulation: Any dispute arising out of or in connection with this agreement shall be resolved through binding arbitration in Mumbai.,Other
"Terms and Conditions: The Borrower confirms that the monthly EMI commitment of Rs. 4,500 does not exceed 50% of verified net monthly disposable income.",EMI
Terms and Conditions: The total fixed obligation to income ratio (FOIR) of the borrower including all existing debts must not exceed 55%.,Eligibility
"Borrower Undertaking: All fees, charges, and statutory penalties mentioned herein are exclusive of Goods and Services Tax (GST) payable at 18.0%.",Tax
Clause 6: Breach of any financial covenant or negative pledge shall attract a liquidated damages penalty of 30.0% per annum.,Penalty
General Obligation: The borrower agrees to renew the insurance coverage annually and submit proof of premium payment to the Lender 15 days before expiry.,Insurance
Special Covenant: The total fixed obligation to income ratio (FOIR) of the borrower including all existing debts must not exceed 45%.,Eligibility
Mandatory Condition: All statutory levies and stamp duties payable on this agreement shall be deposited with the competent treasury authority.,Tax
Mandatory Condition: An origination fee of 1.0% of the total credit limit shall be charged upon issuance of the formal loan sanction letter.,Processing Fee
A pre-closure penalty of 3.0% will be debited to the settlement statement if closed using third-party balance transfer funds.,Foreclosure
"Special Covenant: The borrower shall indemnify the Bank for all recovery agency costs, legal counsel fees, and litigation expenses incurred.",Penalty
Section 13.8: The Borrower's credit score must be at least 750 as reported by CIBIL or Experian at the time of formal underwriting.,Credit Score
A statement of account fee of Rs. 750 and interest certificate generation fee of Rs. 150 shall be levied.,Hidden Charges
"Terms and Conditions: A one-time file handling and login processing charge of Rs. 2,999 must be paid along with the application form submission.",Processing Fee
"Important Stipulation: A mandatory group loan protection insurance premium of INR 35,000 shall be debited and added to the principal balance.",Insurance
Mandatory Condition: The borrower may prepay up to 25% of principal annually; prepayments exceeding this threshold shall attract a 3.0% fee.,Prepayment
Clause 28: Tax deducted at source (TDS) if applicable must be deposited by the borrower and statutory TDS certificates submitted to the Lender.,Tax
"Special Covenant: Loan eligibility is determined on the basis of verified cash flows, repayment capacity, and existing debt commitments.",Eligibility
"Borrower Undertaking: In the event of permanent disability or death of the borrower, insurance proceeds shall be applied directly to liquidate outstanding debt.",Insurance
Borrower Undertaking: The duration of this credit facility is strictly restricted to 20 years from the execution date of this loan deed.,Loan Tenure
"General Obligation: The Bank levies a sanction processing fee of 1.5% on the gross loan value, payable prior to loan agreement signing.",Processing Fee
"Section 42.1: An inspection and collateral re-valuation fee of Rs. 2,500 will be charged to the loan account every 3 years.",Hidden Charges
"Mandatory Condition: The rate of interest chargeable shall be 16.50% p.a., subject to revision following Reserve Bank of India policy revisions.",Interest Rate
"Borrower Undertaking: Upon full foreclosure, the lender shall release original title deeds within 30 working days from settlement of all dues.",Foreclosure
Mandatory Condition: No foreclosure charges shall be applicable on floating-rate individual term loans as per Reserve Bank of India consumer guidelines.,Foreclosure
Special Covenant: The Borrower shall execute an irrevocable power of attorney in favor of the Bank authorizing enforcement upon default.,Documentation
Special Covenant: The maturity date of the loan facility shall fall exactly 30 years following the initial drawdown timestamp.,Loan Tenure
Important Stipulation: The total fixed obligation to income ratio (FOIR) of the borrower including all existing debts must not exceed 60%.,Eligibility
"Terms and Conditions: The Lender shall report payment performance, defaults, and overdue status to all statutory Credit Information Companies monthly.",Credit Score
Important Stipulation: The borrower shall execute demand promissory notes and a deed of hypothecation in respect of all financed movable assets.,Documentation
Mandatory Condition: A fixed annual interest rate of 15.00% shall be applicable for the entire tenure of the loan facility without any reset.,Interest Rate
Important Stipulation: The loan shall be repaid over an amortization schedule spanning 3 years across 36 monthly installments.,Loan Tenure
Mandatory Condition: Early closure and foreclosure of this commercial loan facility will attract a foreclosure compensation levy of 2.0%.,Foreclosure
"Clause 8: In case of a floating rate loan, the rate of interest shall be reset on an annual basis in accordance with prevailing market benchmarks.",Interest Rate
"Clause 20: The Bank levies a sanction processing fee of 2.0% on the gross loan value, payable prior to loan agreement signing.",Processing Fee
Section 8.7: A loan evaluation and administrative processing fee amounting to 0.5% will be deducted directly from the initial disbursement.,Processing Fee
