profile_type,income,expenses,savings,loan_emi,income_variability,savings_rate,expense_ratio,debt_to_income,runway_months,financial_goal,goal_amount,goal_months,risk_level,recommendation_category
Gig worker,33819.0,13970,85440,13108,33.0,19.9,41.3,38.8,8.8,Working Capital Buffer,50000,24,Medium,Highly Variable Income
Online seller,30320.0,34310,97539,0,43.89,0.0,113.2,0.0,3.8,Business Expansion,150000,24,High,Financial Risk
Self-employed person,26271.0,27478,112280,3153,26.18,0.0,104.6,12.0,5.8,Emergency Fund,100000,12,High,Financial Risk
Seasonal business owner,35717.0,30344,309932,0,63.65,15.0,85.0,0.0,15.7,Emergency Fund,30000,18,Medium,Highly Variable Income
Daily wage worker,13508.0,8862,89467,0,46.23,34.4,65.6,0.0,12.1,Emergency Fund,500000,18,Medium,Highly Variable Income
Consultant,86793.0,35788,114131,31618,18.5,22.3,41.2,36.4,3.8,Debt Repayment,150000,12,Low,Stable Income
Freelancer,33002.0,18657,78091,0,46.71,43.5,56.5,0.0,5.0,Debt Repayment,250000,12,Medium,Highly Variable Income
Self-employed person,29846.0,24373,91753,7385,11.53,0.0,81.7,24.7,5.7,Debt Repayment,75000,12,High,Financial Risk
Commission-based worker,27988.0,24224,78784,4466,38.13,0.0,86.6,16.0,4.8,Retirement Reserve,150000,18,High,Financial Risk
Freelancer,52377.0,23338,20316,0,28.22,55.4,44.6,0.0,1.1,Debt Repayment,50000,12,Medium,Moderately Variable Income
Gig worker,15166.0,14634,77585,5711,22.68,0.0,96.5,37.7,6.2,Retirement Reserve,100000,36,High,Financial Risk
Online seller,54278.0,38690,236448,19708,48.81,0.0,71.3,36.3,8.5,Home Downpayment,500000,12,High,Financial Risk
Daily wage worker,14412.0,10347,4245,4599,53.39,0.0,71.8,31.9,0.5,Business Expansion,50000,36,High,Financial Risk
Commission-based worker,69100.0,20927,66751,0,30.98,69.7,30.3,0.0,3.7,Retirement Reserve,150000,18,Low,Moderately Variable Income
Shop owner,21394.0,19498,162212,4310,49.38,0.0,91.1,20.1,10.3,Business Expansion,50000,6,High,Financial Risk
Commission-based worker,47087.0,19281,162723,0,79.19,59.1,40.9,0.0,12.1,Child Education,500000,36,Medium,Highly Variable Income
Commission-based worker,38879.0,19072,74958,0,27.34,50.9,49.1,0.0,5.2,Retirement Reserve,500000,6,Low,Moderately Variable Income
Consultant,68937.0,33714,73207,25468,51.16,14.2,48.9,36.9,2.8,Working Capital Buffer,100000,12,High,Highly Variable Income
Online seller,53874.0,31212,167800,0,12.49,42.1,57.9,0.0,6.7,Debt Repayment,30000,36,Low,Stable Income
Freelancer,26725.0,24219,82968,0,54.51,9.4,90.6,0.0,5.2,Business Expansion,30000,18,Medium,Highly Variable Income
Freelancer,53941.0,31429,109546,20672,68.44,3.4,58.3,38.3,5.4,Emergency Fund,250000,36,Medium,Highly Variable Income
Daily wage worker,12308.0,11450,26924,2785,53.62,0.0,93.0,22.6,3.2,Child Education,150000,12,High,Financial Risk
Freelancer,54035.0,24797,144474,17917,90.3,21.0,45.9,33.2,7.2,Working Capital Buffer,75000,18,Medium,Highly Variable Income
Gig worker,18659.0,16623,18049,0,69.05,10.9,89.1,0.0,1.3,Working Capital Buffer,100000,18,High,Highly Variable Income
Consultant,119511.0,31775,32103,47121,16.42,34.0,26.6,39.4,1.3,Emergency Fund,250000,6,Medium,Stable Income
Online seller,37567.0,31465,189274,0,61.62,16.2,83.8,0.0,7.5,Child Education,250000,12,Medium,Highly Variable Income
Daily wage worker,10055.0,15658,64136,0,52.81,0.0,155.7,0.0,5.6,Emergency Fund,50000,24,High,Financial Risk
Online seller,41415.0,32203,237208,6940,41.43,5.5,77.8,16.8,11.1,Working Capital Buffer,500000,18,Low,Moderately Variable Income
Online seller,83943.0,27892,14812,18910,39.5,44.2,33.2,22.5,0.6,Retirement Reserve,75000,18,High,Financial Risk
Commission-based worker,34462.0,27373,50457,0,39.22,20.6,79.4,0.0,2.8,Working Capital Buffer,50000,6,Medium,Moderately Variable Income
Consultant,88130.0,27918,31072,19429,27.03,46.3,31.7,22.0,1.4,Home Downpayment,50000,6,Medium,Moderately Variable Income
Daily wage worker,11706.0,14979,15811,4622,23.12,0.0,128.0,39.5,1.5,Retirement Reserve,50000,12,High,Financial Risk
Freelancer,46183.0,20698,107210,11505,36.7,30.3,44.8,24.9,6.1,Emergency Fund,250000,12,Low,Moderately Variable Income
Gig worker,33180.0,16841,8052,11771,33.02,13.8,50.8,35.5,0.6,Working Capital Buffer,50000,12,High,Financial Risk
Freelancer,40138.0,25532,13734,10759,48.48,9.6,63.6,26.8,0.7,Retirement Reserve,30000,24,High,Financial Risk
Self-employed person,62162.0,23124,43737,20994,10.39,29.0,37.2,33.8,2.7,Debt Repayment,500000,18,Low,Stable Income
Online seller,62029.0,21791,25600,0,44.16,64.9,35.1,0.0,1.4,Working Capital Buffer,500000,12,High,Highly Variable Income
Self-employed person,37304.0,23672,126762,0,55.03,36.5,63.5,0.0,7.4,Business Expansion,500000,6,Medium,Highly Variable Income
Seasonal business owner,128555.0,25681,84518,45714,74.71,44.5,20.0,35.6,4.3,Retirement Reserve,500000,6,Medium,Highly Variable Income
Self-employed person,55015.0,24449,138442,0,34.01,55.6,44.4,0.0,7.0,Child Education,500000,18,Low,Moderately Variable Income
Shop owner,34244.0,15476,86675,0,25.91,54.8,45.2,0.0,6.6,Home Downpayment,30000,6,Low,Moderately Variable Income
Small business owner,31339.0,25101,256227,9078,50.34,0.0,80.1,29.0,12.9,Emergency Fund,250000,24,High,Financial Risk
Self-employed person,39208.0,23559,12414,3845,19.92,30.1,60.1,9.8,0.7,Retirement Reserve,500000,24,High,Financial Risk
Consultant,65500.0,25402,182145,11508,11.96,43.6,38.8,17.6,8.6,Working Capital Buffer,250000,12,Low,Stable Income
Online seller,52544.0,30708,253558,0,33.52,41.6,58.4,0.0,9.7,Retirement Reserve,500000,36,Low,Moderately Variable Income
Seasonal business owner,45588.0,30995,13716,0,132.08,32.0,68.0,0.0,0.6,Working Capital Buffer,100000,36,High,Financial Risk
Shop owner,25716.0,23141,176537,0,13.52,10.0,90.0,0.0,10.8,Home Downpayment,30000,36,Low,Stable Income
Gig worker,17238.0,18112,65725,0,16.19,0.0,105.1,0.0,4.2,Emergency Fund,100000,36,High,Financial Risk
Gig worker,19045.0,18474,16657,0,68.54,3.0,97.0,0.0,1.2,Debt Repayment,30000,24,High,Highly Variable Income
Online seller,79863.0,41444,37350,31200,44.9,9.0,51.9,39.1,1.3,Debt Repayment,50000,12,High,Highly Variable Income
Consultant,63338.0,45729,317327,14313,31.62,5.2,72.2,22.6,10.1,Business Expansion,500000,12,Low,Moderately Variable Income
Seasonal business owner,46449.0,22232,52722,13720,50.76,22.6,47.9,29.5,3.1,Debt Repayment,50000,6,Medium,Highly Variable Income
Self-employed person,48868.0,31066,27212,0,28.87,36.4,63.6,0.0,1.3,Home Downpayment,75000,12,Medium,Moderately Variable Income
Commission-based worker,50285.0,15262,162844,0,50.3,69.6,30.4,0.0,13.5,Child Education,250000,36,Medium,Highly Variable Income
Commission-based worker,14378.0,22332,36661,2686,41.59,0.0,155.3,18.7,2.2,Debt Repayment,50000,24,High,Financial Risk
Daily wage worker,21315.0,13339,6988,4601,45.98,15.8,62.6,21.6,0.7,Business Expansion,75000,24,High,Financial Risk
Small business owner,53217.0,25922,11135,8180,25.79,35.9,48.7,15.4,0.5,Working Capital Buffer,500000,18,High,Financial Risk
Daily wage worker,13924.0,11705,10438,0,29.07,15.9,84.1,0.0,1.3,Home Downpayment,250000,6,Medium,Moderately Variable Income
Gig worker,23010.0,16282,51805,3772,32.99,12.8,70.8,16.4,3.8,Home Downpayment,250000,24,Low,Moderately Variable Income
Self-employed person,25440.0,20080,164907,5876,63.48,0.0,78.9,23.1,11.0,Emergency Fund,250000,24,High,Financial Risk
Online seller,68603.0,22680,138262,17499,49.82,41.4,33.1,25.5,7.1,Retirement Reserve,50000,24,Medium,Highly Variable Income
Freelancer,66170.0,21086,73274,21145,30.77,36.2,31.9,32.0,4.5,Emergency Fund,100000,36,Low,Moderately Variable Income
Freelancer,43727.0,20744,18664,14325,49.78,19.8,47.4,32.8,1.1,Home Downpayment,100000,24,High,Highly Variable Income
Daily wage worker,15257.0,12136,14515,2727,26.46,2.6,79.5,17.9,1.6,Child Education,75000,18,Medium,Moderately Variable Income
Self-employed person,26364.0,23033,233237,10448,31.41,0.0,87.4,39.6,11.7,Business Expansion,30000,24,High,Financial Risk
Online seller,21919.0,30817,36435,0,47.93,0.0,140.6,0.0,1.8,Debt Repayment,500000,6,High,Financial Risk
Small business owner,26402.0,26813,233599,2531,26.68,0.0,101.6,9.6,11.9,Working Capital Buffer,30000,36,High,Financial Risk
Self-employed person,39186.0,17741,29891,0,42.48,54.7,45.3,0.0,2.2,Home Downpayment,50000,24,High,Highly Variable Income
Daily wage worker,8418.0,11112,23439,3140,21.72,0.0,132.0,37.3,2.5,Emergency Fund,250000,18,High,Financial Risk
Gig worker,21501.0,16122,33263,4459,30.08,4.3,75.0,20.7,2.4,Retirement Reserve,250000,6,Medium,Moderately Variable Income
Online seller,60179.0,36963,117846,8610,45.47,24.3,61.4,14.3,4.3,Emergency Fund,100000,12,Medium,Highly Variable Income
Consultant,60424.0,37135,146498,0,42.65,38.5,61.5,0.0,5.1,Home Downpayment,30000,6,Low,Moderately Variable Income
Online seller,58990.0,39752,345081,0,35.03,32.6,67.4,0.0,12.4,Emergency Fund,500000,6,Medium,Highly Variable Income
Self-employed person,34331.0,28072,239335,7130,28.11,0.0,81.8,20.8,11.9,Child Education,50000,24,High,Financial Risk
Seasonal business owner,76120.0,24269,150583,19578,35.93,42.4,31.9,25.7,8.0,Business Expansion,100000,24,Medium,Highly Variable Income
Freelancer,71882.0,23476,80887,0,55.64,67.3,32.7,0.0,4.5,Child Education,50000,6,Medium,Highly Variable Income
Commission-based worker,20601.0,18730,7956,0,73.29,9.1,90.9,0.0,0.5,Retirement Reserve,500000,18,High,Financial Risk
Commission-based worker,33361.0,23771,26309,7568,52.75,6.1,71.3,22.7,1.5,Debt Repayment,75000,6,High,Highly Variable Income
Daily wage worker,15502.0,11954,14015,0,31.87,22.9,77.1,0.0,1.6,Working Capital Buffer,30000,24,Medium,Moderately Variable Income
Gig worker,8520.0,11611,61898,1568,30.89,0.0,136.3,18.4,6.2,Retirement Reserve,50000,24,High,Financial Risk
Small business owner,30939.0,29576,32127,11051,49.71,0.0,95.6,35.7,1.4,Home Downpayment,500000,24,High,Financial Risk
Seasonal business owner,48997.0,25929,11718,8537,35.78,29.7,52.9,17.4,0.6,Debt Repayment,50000,24,High,Financial Risk
Consultant,39832.0,34054,331995,6888,33.75,0.0,85.5,17.3,13.2,Retirement Reserve,250000,12,High,Financial Risk
Self-employed person,40430.0,23017,52168,3380,19.35,34.7,56.9,8.4,3.3,Home Downpayment,30000,6,Low,Stable Income
Self-employed person,16595.0,16031,83107,1738,25.58,0.0,96.6,10.5,6.4,Working Capital Buffer,30000,24,High,Financial Risk
Seasonal business owner,61506.0,27455,44117,10728,51.14,37.9,44.6,17.4,2.1,Child Education,250000,12,High,Highly Variable Income
Commission-based worker,37650.0,23875,19485,13953,60.89,0.0,63.4,37.1,1.2,Emergency Fund,30000,6,High,Financial Risk
Seasonal business owner,30580.0,28742,25118,5323,72.1,0.0,94.0,17.4,1.2,Working Capital Buffer,500000,6,High,Financial Risk
Small business owner,31198.0,26952,15412,7466,37.14,0.0,86.4,23.9,0.8,Home Downpayment,500000,18,High,Financial Risk
Commission-based worker,14671.0,21512,17575,0,52.96,0.0,146.6,0.0,1.0,Emergency Fund,250000,18,High,Financial Risk
Online seller,61471.0,26886,175561,0,39.51,56.3,43.7,0.0,9.2,Debt Repayment,50000,24,Medium,Highly Variable Income
Gig worker,33995.0,15583,28180,8656,20.25,28.7,45.8,25.5,2.2,Debt Repayment,50000,24,Low,Stable Income
Small business owner,44738.0,30111,160014,7614,33.84,15.7,67.3,17.0,8.0,Emergency Fund,500000,6,Low,Moderately Variable Income
Daily wage worker,13169.0,9656,4029,2150,31.0,10.3,73.3,16.3,0.5,Child Education,250000,24,High,Financial Risk
Commission-based worker,40459.0,18018,17164,11000,61.17,28.3,44.5,27.2,1.4,Home Downpayment,75000,24,High,Highly Variable Income
Freelancer,64596.0,23812,13853,5384,73.87,54.8,36.9,8.3,0.7,Debt Repayment,75000,6,High,Financial Risk
Seasonal business owner,86157.0,24994,176674,0,32.19,71.0,29.0,0.0,8.5,Child Education,150000,18,Low,Moderately Variable Income
Freelancer,46508.0,18579,185612,0,71.56,60.1,39.9,0.0,13.3,Debt Repayment,500000,36,Medium,Highly Variable Income
Freelancer,31555.0,20642,9263,10916,52.08,0.0,65.4,34.6,0.7,Home Downpayment,50000,6,High,Financial Risk
Seasonal business owner,69224.0,24716,218695,0,41.39,64.3,35.7,0.0,13.4,Business Expansion,30000,12,Medium,Highly Variable Income
Daily wage worker,9936.0,9933,19523,1537,65.08,0.0,100.0,15.5,2.4,Working Capital Buffer,75000,12,High,Financial Risk
Commission-based worker,27269.0,22284,25628,3753,57.35,4.5,81.7,13.8,1.6,Retirement Reserve,150000,12,High,Highly Variable Income
Daily wage worker,14475.0,13093,67611,0,45.14,9.5,90.5,0.0,6.7,Business Expansion,30000,12,Medium,Highly Variable Income
Small business owner,27026.0,22222,20310,4331,50.65,1.8,82.2,16.0,1.2,Retirement Reserve,50000,6,High,Highly Variable Income
Freelancer,34520.0,25460,50470,11530,32.9,0.0,73.8,33.4,2.7,Business Expansion,250000,6,High,Financial Risk
Self-employed person,58662.0,17510,125240,19391,20.72,37.1,29.8,33.1,8.8,Retirement Reserve,500000,36,Low,Stable Income
Online seller,45963.0,24119,47187,12300,45.55,20.8,52.5,26.8,2.5,Home Downpayment,150000,6,High,Highly Variable Income
Small business owner,57906.0,27552,53486,6990,36.99,40.3,47.6,12.1,2.6,Emergency Fund,500000,6,Medium,Moderately Variable Income
Consultant,100196.0,34450,31064,27339,27.36,38.3,34.4,27.3,1.1,Retirement Reserve,150000,6,Medium,Moderately Variable Income
Self-employed person,42307.0,19131,9795,12941,34.78,24.2,45.2,30.6,0.6,Working Capital Buffer,150000,36,High,Financial Risk
Self-employed person,32292.0,25005,140306,5358,54.81,6.0,77.4,16.6,7.8,Working Capital Buffer,500000,6,Medium,Highly Variable Income
Gig worker,18138.0,13171,27037,2591,43.5,13.1,72.6,14.3,2.6,Working Capital Buffer,30000,24,High,Highly Variable Income
Gig worker,26529.0,18579,18252,10102,60.65,0.0,70.0,38.1,1.5,Child Education,500000,18,High,Financial Risk
Shop owner,35984.0,17061,51649,0,62.12,52.6,47.4,0.0,4.1,Debt Repayment,500000,6,Medium,Highly Variable Income
Gig worker,27312.0,17037,104630,5555,22.18,17.3,62.4,20.3,7.5,Emergency Fund,500000,18,Low,Moderately Variable Income
Seasonal business owner,42927.0,24301,56401,8763,122.16,23.0,56.6,20.4,2.9,Home Downpayment,150000,12,High,Highly Variable Income
Shop owner,38370.0,16670,31964,7690,32.65,36.5,43.4,20.0,2.5,Retirement Reserve,250000,24,Medium,Moderately Variable Income
Daily wage worker,8578.0,10602,9044,2166,78.61,0.0,123.6,25.2,1.2,Retirement Reserve,100000,24,High,Financial Risk
Daily wage worker,9332.0,12619,12273,0,37.91,0.0,135.2,0.0,1.5,Child Education,150000,24,High,Financial Risk
Self-employed person,34543.0,22377,24866,11132,24.64,3.0,64.8,32.2,1.5,Home Downpayment,500000,6,Medium,Moderately Variable Income
Self-employed person,28407.0,26790,81518,9320,22.41,0.0,94.3,32.8,4.4,Working Capital Buffer,500000,24,High,Financial Risk
Online seller,43431.0,26713,283360,9860,48.28,15.8,61.5,22.7,12.4,Debt Repayment,500000,36,Medium,Highly Variable Income
Small business owner,55921.0,23601,186032,7429,26.42,44.5,42.2,13.3,12.1,Debt Repayment,500000,24,Low,Moderately Variable Income
Small business owner,31078.0,24085,22184,11045,61.19,0.0,77.5,35.5,1.2,Child Education,75000,12,High,Financial Risk
Consultant,61617.0,40751,292589,0,21.36,33.9,66.1,0.0,9.1,Debt Repayment,150000,6,Low,Stable Income
Seasonal business owner,45413.0,23164,163721,7301,70.56,32.9,51.0,16.1,9.8,Retirement Reserve,500000,18,Medium,Highly Variable Income
Online seller,76231.0,39727,139227,30344,52.5,8.1,52.1,39.8,5.3,Business Expansion,30000,12,Medium,Highly Variable Income
Online seller,29569.0,30836,179740,6856,58.59,0.0,104.3,23.2,6.8,Debt Repayment,500000,12,High,Financial Risk
Shop owner,14480.0,21753,50663,4424,28.71,0.0,150.2,30.6,3.5,Retirement Reserve,50000,12,High,Financial Risk
Seasonal business owner,64411.0,24810,55997,18875,44.96,32.2,38.5,29.3,3.3,Child Education,100000,6,Medium,Highly Variable Income
Freelancer,49407.0,18438,51745,7925,39.78,46.6,37.3,16.0,3.6,Working Capital Buffer,150000,12,Medium,Highly Variable Income
Gig worker,17782.0,13740,5584,4127,31.55,0.0,77.3,23.2,0.5,Debt Repayment,500000,24,High,Financial Risk
Shop owner,17441.0,18149,190198,0,12.51,0.0,104.1,0.0,13.6,Business Expansion,500000,6,High,Financial Risk
Gig worker,15313.0,17657,178635,0,49.49,0.0,115.3,0.0,14.4,Business Expansion,150000,6,High,Financial Risk
Shop owner,33464.0,24950,12449,0,30.33,25.4,74.6,0.0,0.6,Retirement Reserve,150000,36,High,Financial Risk
Online seller,36886.0,24889,234206,13168,32.91,0.0,67.5,35.7,11.0,Retirement Reserve,500000,12,High,Financial Risk
Seasonal business owner,108486.0,20059,10176,32648,83.32,51.4,18.5,30.1,0.6,Child Education,250000,6,High,Financial Risk
Commission-based worker,48100.0,18714,10309,10191,34.38,39.9,38.9,21.2,0.8,Working Capital Buffer,150000,18,High,Financial Risk
Daily wage worker,19308.0,12515,48965,4866,61.14,10.0,64.8,25.2,4.9,Retirement Reserve,50000,12,Medium,Highly Variable Income
Gig worker,17446.0,18795,75111,0,23.02,0.0,107.7,0.0,5.4,Debt Repayment,75000,24,High,Financial Risk
Commission-based worker,50180.0,17749,20667,0,68.77,64.6,35.4,0.0,1.5,Child Education,250000,12,High,Highly Variable Income
Commission-based worker,22242.0,18187,51143,4979,53.32,0.0,81.8,22.4,4.3,Emergency Fund,500000,24,High,Financial Risk
Online seller,84053.0,34015,14381,0,44.77,59.5,40.5,0.0,0.6,Debt Repayment,100000,18,High,Financial Risk
Small business owner,41324.0,27258,173532,5594,47.7,20.5,66.0,13.5,8.4,Working Capital Buffer,150000,12,Medium,Highly Variable Income
Gig worker,9255.0,15222,60265,2805,66.04,0.0,164.5,30.3,5.4,Debt Repayment,500000,6,High,Financial Risk
Gig worker,21382.0,15195,103825,2228,17.37,18.5,71.1,10.4,8.7,Working Capital Buffer,100000,12,Low,Stable Income
Online seller,52137.0,32252,266199,9399,38.67,20.1,61.9,18.0,10.1,Retirement Reserve,250000,24,Medium,Highly Variable Income
Shop owner,24587.0,23175,146951,5086,22.12,0.0,94.3,20.7,8.8,Home Downpayment,30000,6,High,Financial Risk
Self-employed person,24920.0,27386,265233,6229,18.29,0.0,109.9,25.0,14.0,Emergency Fund,150000,6,High,Financial Risk
Daily wage worker,20330.0,11213,12746,5998,18.1,15.3,55.2,29.5,1.7,Debt Repayment,75000,18,Medium,Stable Income
Self-employed person,23772.0,26661,244450,8355,29.68,0.0,112.2,35.1,12.4,Emergency Fund,100000,18,High,Financial Risk
Self-employed person,28546.0,17480,36033,8696,21.41,8.3,61.2,30.5,2.6,Retirement Reserve,75000,18,Low,Stable Income
Freelancer,20547.0,19915,127378,3328,51.91,0.0,96.9,16.2,8.1,Business Expansion,500000,18,High,Financial Risk
Small business owner,17719.0,19757,35321,0,45.09,0.0,111.5,0.0,2.3,Working Capital Buffer,50000,36,High,Financial Risk
Small business owner,61676.0,27502,22656,20347,49.26,22.4,44.6,33.0,1.3,Working Capital Buffer,500000,12,High,Highly Variable Income
Online seller,61807.0,27934,113204,14290,57.59,31.7,45.2,23.1,5.6,Business Expansion,30000,12,Medium,Highly Variable Income
Gig worker,14868.0,16935,35332,2229,29.66,0.0,113.9,15.0,3.2,Home Downpayment,250000,6,High,Financial Risk
Daily wage worker,13441.0,10855,114862,0,37.71,19.2,80.8,0.0,12.4,Working Capital Buffer,30000,12,Low,Moderately Variable Income
Commission-based worker,44549.0,22147,19528,0,29.01,50.3,49.7,0.0,1.1,Retirement Reserve,50000,18,Medium,Moderately Variable Income
Seasonal business owner,34728.0,33384,33843,0,66.89,3.9,96.1,0.0,1.5,Child Education,100000,12,High,Highly Variable Income
Freelancer,38169.0,18050,63258,7124,29.01,34.0,47.3,18.7,4.9,Emergency Fund,30000,24,Low,Moderately Variable Income
Small business owner,31035.0,18823,19542,4376,31.74,25.2,60.7,14.1,1.3,Retirement Reserve,30000,36,Medium,Moderately Variable Income
Self-employed person,32197.0,18656,39581,6940,37.07,20.5,57.9,21.6,2.6,Working Capital Buffer,500000,6,Medium,Moderately Variable Income
Shop owner,35157.0,21834,123305,4754,57.68,24.4,62.1,13.5,8.0,Emergency Fund,500000,36,Medium,Highly Variable Income
Daily wage worker,18796.0,13799,22431,3734,32.86,6.7,73.4,19.9,2.0,Business Expansion,30000,12,Medium,Moderately Variable Income
Freelancer,26080.0,22616,9665,0,39.9,13.3,86.7,0.0,0.6,Home Downpayment,150000,24,High,Financial Risk
Commission-based worker,39702.0,15540,57996,12841,38.45,28.5,39.1,32.3,4.3,Emergency Fund,50000,36,Low,Moderately Variable Income
Self-employed person,42384.0,21466,37578,14566,24.48,15.0,50.6,34.4,2.1,Child Education,150000,12,Medium,Moderately Variable Income
Gig worker,17869.0,11923,10844,0,38.21,33.3,66.7,0.0,1.1,Emergency Fund,30000,24,Medium,Moderately Variable Income
Self-employed person,62180.0,31765,112688,17407,24.99,20.9,51.1,28.0,5.5,Debt Repayment,250000,12,Low,Moderately Variable Income
Consultant,57119.0,31556,27630,0,18.16,44.8,55.2,0.0,1.0,Retirement Reserve,150000,24,Medium,Stable Income
Self-employed person,42130.0,28793,26494,13645,17.59,0.0,68.3,32.4,1.4,Business Expansion,250000,24,High,Financial Risk
Online seller,35383.0,29517,166552,7621,19.95,0.0,83.4,21.5,7.3,Debt Repayment,50000,36,High,Financial Risk
Daily wage worker,14992.0,10924,8767,5595,75.02,0.0,72.9,37.3,1.2,Business Expansion,150000,12,High,Financial Risk
Online seller,27418.0,33554,182900,0,24.1,0.0,122.4,0.0,7.3,Retirement Reserve,30000,24,High,Financial Risk
Freelancer,60109.0,24453,14346,0,59.84,59.3,40.7,0.0,0.7,Child Education,30000,18,High,Financial Risk
Self-employed person,49121.0,25989,96380,13455,39.17,19.7,52.9,27.4,5.1,Working Capital Buffer,150000,36,Medium,Highly Variable Income
Small business owner,12236.0,22584,47312,0,57.36,0.0,184.6,0.0,2.8,Retirement Reserve,250000,24,High,Financial Risk
Commission-based worker,48824.0,21880,9743,0,37.74,55.2,44.8,0.0,0.6,Child Education,250000,12,High,Financial Risk
Commission-based worker,44679.0,16081,8377,0,43.08,64.0,36.0,0.0,0.7,Working Capital Buffer,500000,12,High,Financial Risk
Self-employed person,35016.0,21527,37481,5407,38.7,23.1,61.5,15.4,2.1,Business Expansion,50000,12,High,Highly Variable Income
Consultant,78239.0,43441,224412,0,28.97,44.5,55.5,0.0,7.3,Business Expansion,500000,6,Low,Moderately Variable Income
Small business owner,50460.0,23387,81920,18629,32.03,16.7,46.3,36.9,4.0,Emergency Fund,150000,24,Low,Moderately Variable Income
Self-employed person,51252.0,25347,10838,13978,24.48,23.3,49.5,27.3,0.5,Home Downpayment,100000,12,High,Financial Risk
Self-employed person,38165.0,17663,64770,12691,47.47,20.5,46.3,33.3,4.3,Home Downpayment,250000,12,Medium,Highly Variable Income
Seasonal business owner,49654.0,18927,8199,18323,74.25,25.0,38.1,36.9,0.5,Emergency Fund,100000,12,High,Financial Risk
Commission-based worker,23871.0,20092,79451,5410,44.77,0.0,84.2,22.7,5.9,Child Education,500000,24,High,Financial Risk
Small business owner,46948.0,21888,149818,5451,36.81,41.8,46.6,11.6,10.4,Working Capital Buffer,500000,36,Low,Moderately Variable Income
Daily wage worker,15203.0,12924,7661,3431,44.07,0.0,85.0,22.6,0.8,Working Capital Buffer,150000,36,High,Financial Risk
Self-employed person,26103.0,18053,174170,0,34.65,30.8,69.2,0.0,12.9,Business Expansion,50000,12,Low,Moderately Variable Income
Gig worker,11579.0,18739,195602,3989,33.2,0.0,161.8,34.5,13.1,Child Education,75000,24,High,Financial Risk
Daily wage worker,20505.0,15011,16489,5202,60.55,1.4,73.2,25.4,1.6,Emergency Fund,250000,24,High,Highly Variable Income
Freelancer,56944.0,23405,130961,7326,25.46,46.0,41.1,12.9,6.8,Debt Repayment,150000,6,Low,Moderately Variable Income
Freelancer,34319.0,23088,147677,0,35.29,32.7,67.3,0.0,9.6,Retirement Reserve,500000,36,Medium,Highly Variable Income
Gig worker,18817.0,13725,7849,0,53.02,27.1,72.9,0.0,0.7,Working Capital Buffer,75000,24,High,Financial Risk
Daily wage worker,17664.0,10383,29271,3687,44.87,20.3,58.8,20.9,4.0,Home Downpayment,100000,12,Low,Moderately Variable Income
Self-employed person,29046.0,17979,187906,7348,40.13,12.8,61.9,25.3,14.1,Working Capital Buffer,150000,24,Medium,Highly Variable Income
Consultant,86979.0,35985,16463,0,33.25,58.6,41.4,0.0,0.7,Retirement Reserve,100000,6,High,Financial Risk
Small business owner,57604.0,27079,86810,13014,32.52,30.4,47.0,22.6,3.8,Business Expansion,150000,18,Low,Moderately Variable Income
Freelancer,59842.0,25431,27554,0,23.06,57.5,42.5,0.0,1.5,Working Capital Buffer,30000,36,Medium,Moderately Variable Income
Shop owner,26385.0,22902,9996,0,48.95,13.2,86.8,0.0,0.6,Debt Repayment,150000,18,High,Financial Risk
Daily wage worker,17437.0,10954,35059,4516,48.48,11.3,62.8,25.9,4.7,Debt Repayment,50000,6,Medium,Highly Variable Income
Small business owner,57348.0,19688,17675,20406,27.15,30.1,34.3,35.6,1.2,Home Downpayment,150000,24,Medium,Moderately Variable Income
Seasonal business owner,36841.0,25215,239688,5535,78.05,16.5,68.4,15.0,14.0,Business Expansion,100000,18,Medium,Highly Variable Income
Self-employed person,35418.0,20209,10387,11364,39.33,10.9,57.1,32.1,0.7,Emergency Fund,150000,36,High,Financial Risk
Shop owner,35413.0,22658,23587,4383,13.53,23.6,64.0,12.4,1.2,Home Downpayment,500000,18,Medium,Stable Income
Seasonal business owner,70306.0,27680,52704,14680,69.34,39.7,39.4,20.9,2.3,Debt Repayment,500000,6,High,Highly Variable Income
Seasonal business owner,69920.0,28515,13145,11344,72.01,43.0,40.8,16.2,0.6,Retirement Reserve,500000,6,High,Financial Risk
Consultant,56112.0,36995,42941,21825,44.08,0.0,65.9,38.9,1.7,Working Capital Buffer,75000,36,High,Financial Risk
Seasonal business owner,59012.0,30187,175317,0,40.2,48.8,51.2,0.0,7.8,Debt Repayment,250000,24,Medium,Highly Variable Income
Seasonal business owner,63739.0,38469,88904,17755,50.96,11.8,60.4,27.9,3.5,Working Capital Buffer,75000,36,Medium,Highly Variable Income
Online seller,40232.0,28423,54719,10125,33.23,4.2,70.6,25.2,2.6,Retirement Reserve,250000,12,Medium,Moderately Variable Income
Self-employed person,45215.0,16919,96416,10806,17.21,38.7,37.4,23.9,6.9,Emergency Fund,250000,6,Low,Stable Income
Gig worker,11836.0,12549,90016,1622,57.57,0.0,106.0,13.7,8.6,Retirement Reserve,150000,24,High,Financial Risk
Freelancer,48912.0,22252,49481,0,27.56,54.5,45.5,0.0,3.0,Working Capital Buffer,100000,24,Low,Moderately Variable Income
Online seller,51409.0,27791,26553,7430,67.54,31.5,54.1,14.5,1.3,Emergency Fund,150000,18,High,Highly Variable Income
